played_at,track_id,track_name,artist_ids,artist_names,album_id,album_name,duration_ms,popularity,explicit,extracted_at
2025-07-07T03:00:05.481Z,02CUgLutqmue2cayDgmn53,Don't Hold The Fire,2SJhf6rTOU53g8yBdAjPby,SoFaygo,4XF9ZL4bbEp0Ab0yDtYhsA,Don't Hold The Fire,147018,62,True,2025-07-06T23:01:18.667343
2025-07-07T02:57:50.535Z,0PPsCEAJIaUIHzwi6LkW0e,Supersonic,2ExyJw39EdZWptcMbbg5yz,bruhwhosjack,1YxeDFdcLc7Wurw9oOlPkf,Supersonic,109129,49,True,2025-07-06T23:01:18.667432
2025-07-07T02:51:31.982Z,7IAZgW9Z7irtatnww59aL3,Let's Go Shoppin,"3iwgpA6jf4fXM5ZuH7qglb,2JJuMFyGSGUltwqf32E8YT","jahhde,Ifys",3BbepA0LB6fp8PaAXFwDnV,Lost Files 4,137170,50,True,2025-07-06T23:01:18.667444
2025-07-07T02:28:44.912Z,1niQU6ZQCQ7sErJ50BSyVp,fell off (w. plaqueboymax),"1iuurLoajxCVWqPh4Xqs0q,0DVETtFrZ1gvd4OfNNH99F,71IqH3feYMFpIMEYao0nR8","fivestarmax,5STAR,pbmfromthej",29XYVWnOqqGWHY15UVZ8wR,fell off (w. plaqueboymax),121392,32,True,2025-07-06T23:01:18.667457
2025-07-07T02:26:55.205Z,2nmChkMss0FEoKEWfCLGRp,2016,79NDEw5QWlDC9KaIbogNhS,PlaqueBoyMax,0iNOc23OadZLeGuk1VIz4l,Five Forever (Deluxe),125533,61,True,2025-07-06T23:01:18.667464
2025-07-07T02:25:02.186Z,6CBurTHmYJhIcDD72Qgjnm,Close to you,78rUTD7y6Cy67W1RVzYs7t,PinkPantheress,0kSsLJiSSakbOSZrHGlVRP,Close to you,103441,75,False,2025-07-06T23:01:18.667471
2025-07-07T02:23:30.738Z,1q2Eg6vur4gYk8ePcB0Qig,OUR GIRL MIRI J 160BPM,"4XgGyZXiobm9kfKFBdasgm,38BpiXYo0GESioPqkG5xyl","KHYA,Mirasia",6ueQce2FvxXkRishSfv3xA,"MARYJANE, THE REMIXES",201375,52,False,2025-07-06T23:01:18.667480
2025-07-07T02:20:21.114Z,6rPPngIRwwQYUwuv048TKe,Snap My Finger (feat. PinkPantheress),"6qgnBH6iDM91ipVXv28OMu,78rUTD7y6Cy67W1RVzYs7t","KAYTRANADA,PinkPantheress",4kPTj6wYQUYtgBOZb1E6Pg,TIMELESS,201371,52,True,2025-07-06T23:01:18.667503
2025-07-07T02:17:11.702Z,42ovHG1MWrCXM1WxDBsZqU,brand new,4XYMiEaq0oqFVyBDPfhUfw,Yazida,6MdVJ3hWBLBtfbtLNe2OBd,brand new,101014,48,False,2025-07-06T23:01:18.667583
2025-07-07T02:15:42.738Z,6MGDifi2vBHgHLpqCUmX16,Anticipate,"0cLrgpG3pW4MX4nD8h6qCc,3l0CmX0FuQjFxr8SK7Vqag","El Michels Affair,Clairo",1hy99Geeqk41ERKiyLz0b1,Anticipate,189284,71,False,2025-07-06T23:01:18.667599
