rank,time_range,artist_id,genres,popularity,followers,extracted_at
1,medium_term,Playboi Carti,rage rap,91,14445686,2025-07-06T23:01:27.411356
2,medium_term,Ken Carson,rage rap,81,2987125,2025-07-06T23:01:27.411373
3,medium_term,OsamaSon,"rage rap,underground hip hop",69,351373,2025-07-06T23:01:27.411378
4,medium_term,Men I Trust,"bedroom pop,indie pop",74,2236207,2025-07-06T23:01:27.411381
5,medium_term,PinkPantheress,bedroom pop,82,4368163,2025-07-06T23:01:27.411384
6,medium_term,Pi’erre Bourne,melodic rap,66,1074364,2025-07-06T23:01:27.411388
7,medium_term,Clairo,bedroom pop,82,6224206,2025-07-06T23:01:27.411392
8,medium_term,Cochise,rage rap,65,847616,2025-07-06T23:01:27.411395
9,medium_term,PlaqueBoyMax,,73,149656,2025-07-06T23:01:27.411399
10,medium_term,Lil O,rage rap,52,26946,2025-07-06T23:01:27.411402
11,medium_term,Nine Vicious,underground hip hop,59,41105,2025-07-06T23:01:27.411406
12,medium_term,"Lucie,Too","japanese indie,j-rock",28,39195,2025-07-06T23:01:27.411410
13,medium_term,"Tyler, The Creator",,90,22733952,2025-07-06T23:01:27.411413
14,medium_term,beabadoobee,bedroom pop,82,5957150,2025-07-06T23:01:27.411416
15,medium_term,pomodorosa,"shibuya-kei,japanese indie,bossa nova",37,25309,2025-07-06T23:01:27.411435
16,medium_term,Steve Lacy,,81,6088942,2025-07-06T23:01:27.411439
17,medium_term,grentperez,,67,776819,2025-07-06T23:01:27.411442
18,medium_term,Lil Uzi Vert,melodic rap,86,18935787,2025-07-06T23:01:27.411446
19,medium_term,Nettspend,"underground hip hop,rage rap",65,298070,2025-07-06T23:01:27.411449
20,medium_term,Lamp,"shibuya-kei,japanese indie,city pop",65,1415957,2025-07-06T23:01:27.411453
21,medium_term,Destroy Lonely,rage rap,74,1611967,2025-07-06T23:01:27.411456
22,medium_term,Daniel Caesar,,86,9815809,2025-07-06T23:01:27.411459
23,medium_term,SoFaygo,rage rap,62,858536,2025-07-06T23:01:27.411462
24,medium_term,Minuano,"shibuya-kei,japanese indie,bossa nova",49,71187,2025-07-06T23:01:27.411465
25,medium_term,The Marías,bedroom pop,86,3013578,2025-07-06T23:01:27.411468
26,medium_term,YT,,58,64059,2025-07-06T23:01:27.411543
27,medium_term,SHISHAMO,"japanese indie,j-rock,j-pop",61,653182,2025-07-06T23:01:27.411552
28,medium_term,jahhde,rage rap,49,29850,2025-07-06T23:01:27.411555
29,medium_term,Protect,underground hip hop,56,56038,2025-07-06T23:01:27.411559
30,medium_term,Kanye West,rap,93,30299586,2025-07-06T23:01:27.411563
31,medium_term,Glokk40Spaz,underground hip hop,64,296181,2025-07-06T23:01:27.411567
32,medium_term,fivestarmax,sexy drill,34,1207,2025-07-06T23:01:27.411571
33,medium_term,SahBabii,melodic rap,59,745183,2025-07-06T23:01:27.411575
34,medium_term,1oneam,underground hip hop,57,98074,2025-07-06T23:01:27.411579
35,medium_term,Che,"rage rap,underground hip hop",63,246717,2025-07-06T23:01:27.411583
36,medium_term,mei ehara,"japanese indie,shibuya-kei",49,76799,2025-07-06T23:01:27.411586
37,medium_term,Saki Takaoka,"city pop,kayokyoku,j-pop",18,3306,2025-07-06T23:01:27.411590
38,medium_term,the peggies,"anime,j-rock,j-pop,japanese indie",51,231232,2025-07-06T23:01:27.411593
39,medium_term,Anri,"city pop,kayokyoku,j-pop",63,497589,2025-07-06T23:01:27.411597
40,medium_term,Faye Webster,,75,1976397,2025-07-06T23:01:27.411600
41,medium_term,Lancey Foux,rage rap,60,383969,2025-07-06T23:01:27.411603
42,medium_term,Satellite Lovers,"shibuya-kei,japanese indie,city pop",35,7442,2025-07-06T23:01:27.411607
43,medium_term,Thee Sacred Souls,retro soul,73,832999,2025-07-06T23:01:27.411611
44,medium_term,Pitcher56,"shibuya-kei,japanese indie",43,48101,2025-07-06T23:01:27.411615
45,medium_term,Yeat,rage rap,81,5815522,2025-07-06T23:01:27.411619
46,medium_term,Taeko Onuki,"city pop,shibuya-kei,j-pop",57,293668,2025-07-06T23:01:27.411622
47,medium_term,LUCKI,cloud rap,79,1663365,2025-07-06T23:01:27.411625
48,medium_term,Summrs,underground hip hop,64,508140,2025-07-06T23:01:27.411629
49,medium_term,SZA,r&b,93,30970069,2025-07-06T23:01:27.411632
50,medium_term,Frank Ocean,,88,19286249,2025-07-06T23:01:27.411636
