rank,time_range,artist_id,genres,popularity,followers,extracted_at
1,short_term,Ken Carson,rage rap,81,2987125,2025-07-06T23:01:26.868651
2,short_term,Pi’erre Bourne,melodic rap,66,1074364,2025-07-06T23:01:26.868667
3,short_term,Nine Vicious,underground hip hop,59,41105,2025-07-06T23:01:26.868673
4,short_term,Playboi Carti,rage rap,91,14445686,2025-07-06T23:01:26.868677
5,short_term,PlaqueBoyMax,,73,149656,2025-07-06T23:01:26.868682
6,short_term,jahhde,rage rap,49,29850,2025-07-06T23:01:26.868687
7,short_term,fivestarmax,sexy drill,34,1207,2025-07-06T23:01:26.868692
8,short_term,OsamaSon,"rage rap,underground hip hop",69,351373,2025-07-06T23:01:26.869278
9,short_term,beabadoobee,bedroom pop,82,5957150,2025-07-06T23:01:26.869518
10,short_term,PinkPantheress,bedroom pop,82,4368163,2025-07-06T23:01:26.869526
11,short_term,Shelly,lo-fi indie,61,174976,2025-07-06T23:01:26.869531
12,short_term,Lamp,"shibuya-kei,japanese indie,city pop",65,1415957,2025-07-06T23:01:26.869536
13,short_term,Destroy Lonely,rage rap,74,1611967,2025-07-06T23:01:26.869540
14,short_term,SahBabii,melodic rap,59,745183,2025-07-06T23:01:26.869544
15,short_term,lifelessgarments,"rage rap,underground hip hop",39,25992,2025-07-06T23:01:26.869549
16,short_term,SoFaygo,rage rap,62,858536,2025-07-06T23:01:26.869554
17,short_term,the peggies,"anime,j-rock,j-pop,japanese indie",51,231232,2025-07-06T23:01:26.869708
18,short_term,Lil Uzi Vert,melodic rap,86,18935787,2025-07-06T23:01:26.869713
19,short_term,LUCKI,cloud rap,79,1663365,2025-07-06T23:01:26.869717
20,short_term,Men I Trust,"bedroom pop,indie pop",74,2236207,2025-07-06T23:01:26.869722
21,short_term,Clairo,bedroom pop,82,6224206,2025-07-06T23:01:26.870057
22,short_term,Nettspend,"underground hip hop,rage rap",65,298070,2025-07-06T23:01:26.870061
23,short_term,The Marías,bedroom pop,86,3013578,2025-07-06T23:01:26.870065
24,short_term,"Tyler, The Creator",,90,22733952,2025-07-06T23:01:26.870069
25,short_term,Lil O,rage rap,52,26946,2025-07-06T23:01:26.870073
26,short_term,Title Fight,"midwest emo,shoegaze,post-hardcore,melodic hardcore,emo,pop punk",67,578824,2025-07-06T23:01:26.870077
27,short_term,Faye Webster,,75,1976397,2025-07-06T23:01:26.870081
28,short_term,Nino Paid,,71,229532,2025-07-06T23:01:26.870085
29,short_term,Los Retros,"latin indie,bedroom pop",61,523154,2025-07-06T23:01:26.870089
30,short_term,Thouxanbanfauni,"cloud rap,melodic rap",56,276990,2025-07-06T23:01:26.870092
31,short_term,Daniel Caesar,,86,9815809,2025-07-06T23:01:26.870096
32,short_term,Summrs,underground hip hop,64,508140,2025-07-06T23:01:26.870100
33,short_term,SHISHAMO,"japanese indie,j-rock,j-pop",61,653182,2025-07-06T23:01:26.870103
34,short_term,Foo Fighters,"rock,post-grunge,alternative rock,grunge",79,12694258,2025-07-06T23:01:26.870108
35,short_term,Laufey,,83,7455180,2025-07-06T23:01:26.870111
36,short_term,prettifun,underground hip hop,53,59098,2025-07-06T23:01:26.870115
37,short_term,Cochise,rage rap,65,847616,2025-07-06T23:01:26.870118
38,short_term,Kanye West,rap,93,30299586,2025-07-06T23:01:26.870121
39,short_term,1oneam,underground hip hop,57,98074,2025-07-06T23:01:26.870124
40,short_term,Rocco,,63,335485,2025-07-06T23:01:26.870128
41,short_term,grentperez,,67,776819,2025-07-06T23:01:26.870131
42,short_term,wave to earth,,76,4572536,2025-07-06T23:01:26.870136
43,short_term,YT,,58,64059,2025-07-06T23:01:26.870140
44,short_term,Protect,underground hip hop,56,56038,2025-07-06T23:01:26.870143
45,short_term,Hardrock,"rage rap,underground hip hop",55,127905,2025-07-06T23:01:26.870148
46,short_term,Riovaz,,63,294439,2025-07-06T23:01:26.870152
47,short_term,Slow Pulp,,58,229052,2025-07-06T23:01:26.870155
48,short_term,xaviersobased,"cloud rap,underground hip hop",62,158893,2025-07-06T23:01:26.870159
49,short_term,SZA,r&b,93,30970069,2025-07-06T23:01:26.870163
50,short_term,Ichiko Aoba,"japanese indie,shibuya-kei",63,918105,2025-07-06T23:01:26.871416
