rank,time_range,artist_id,genres,popularity,followers,extracted_at
1,long_term,Ken Carson,rage rap,81,2994682,2025-07-13T01:19:44.712408
2,long_term,Playboi Carti,rage rap,91,14464544,2025-07-13T01:19:44.712466
3,long_term,beabadoobee,bedroom pop,82,5984350,2025-07-13T01:19:44.712471
4,long_term,Destroy Lonely,rage rap,74,1615154,2025-07-13T01:19:44.712474
5,long_term,the peggies,"anime,j-rock,j-pop,japanese indie",52,231466,2025-07-13T01:19:44.712476
6,long_term,Lamp,"shibuya-kei,japanese indie,city pop",65,1418661,2025-07-13T01:19:44.712479
7,long_term,Men I Trust,"bedroom pop,indie pop",74,2240490,2025-07-13T01:19:44.712481
8,long_term,OsamaSon,"rage rap,underground hip hop",69,353895,2025-07-13T01:19:44.712483
9,long_term,Lil Uzi Vert,melodic rap,86,18939157,2025-07-13T01:19:44.712485
10,long_term,SHISHAMO,"japanese indie,j-rock,j-pop",62,654741,2025-07-13T01:19:44.712487
11,long_term,Steve Lacy,,81,6101706,2025-07-13T01:19:44.712493
12,long_term,Cochise,rage rap,65,848158,2025-07-13T01:19:44.712495
13,long_term,LUCKI,cloud rap,79,1667609,2025-07-13T01:19:44.712498
14,long_term,Kero Kero Bonito,,56,555133,2025-07-13T01:19:44.712501
15,long_term,PinkPantheress,bedroom pop,83,4399369,2025-07-13T01:19:44.712502
16,long_term,Clairo,bedroom pop,82,6243943,2025-07-13T01:19:44.712506
17,long_term,"Tyler, The Creator",,90,22800402,2025-07-13T01:19:44.712510
18,long_term,Drake,rap,99,99785530,2025-07-13T01:19:44.712513
19,long_term,Pi’erre Bourne,melodic rap,66,1074484,2025-07-13T01:19:44.712515
20,long_term,Glokk40Spaz,underground hip hop,64,297359,2025-07-13T01:19:44.712517
21,long_term,Kanye West,rap,93,30313544,2025-07-13T01:19:44.712518
22,long_term,Faye Webster,,75,1985719,2025-07-13T01:19:44.712520
23,long_term,SoFaygo,rage rap,62,859879,2025-07-13T01:19:44.712522
24,long_term,Summrs,underground hip hop,64,508782,2025-07-13T01:19:44.712524
25,long_term,Autumn!,underground hip hop,64,606360,2025-07-13T01:19:44.712526
26,long_term,"Lucie,Too","japanese indie,j-rock",28,39211,2025-07-13T01:19:44.712574
27,long_term,Yeat,rage rap,81,5817853,2025-07-13T01:19:44.712597
28,long_term,Lil Tecca,"melodic rap,rap",87,9759679,2025-07-13T01:19:44.712601
29,long_term,jahhde,rage rap,49,30022,2025-07-13T01:19:44.712605
30,long_term,Homixide Gang,rage rap,62,531436,2025-07-13T01:19:44.712608
31,long_term,ian,,72,575583,2025-07-13T01:19:44.712612
32,long_term,Rich Amiri,rage rap,68,743355,2025-07-13T01:19:44.712615
33,long_term,Rex Orange County,bedroom pop,79,6572186,2025-07-13T01:19:44.712619
34,long_term,1oneam,underground hip hop,57,99121,2025-07-13T01:19:44.712622
35,long_term,Tay-K,,65,3758561,2025-07-13T01:19:44.712625
36,long_term,Title Fight,"midwest emo,shoegaze,post-hardcore,melodic hardcore,emo",67,580974,2025-07-13T01:19:44.712629
37,long_term,Summer Walker,r&b,80,7739889,2025-07-13T01:19:44.712633
38,long_term,D. Savage,cloud rap,61,564028,2025-07-13T01:19:44.712637
39,long_term,Thouxanbanfauni,"cloud rap,melodic rap",56,277163,2025-07-13T01:19:44.712640
40,long_term,Kehlani,,80,8306308,2025-07-13T01:19:44.712644
41,long_term,Ethereal,cloud rap,53,95948,2025-07-13T01:19:44.712647
42,long_term,Che,"rage rap,underground hip hop",63,248588,2025-07-13T01:19:44.712651
43,long_term,Yameii Online,"hyperpop,glitch",48,194867,2025-07-13T01:19:44.712654
44,long_term,Kid Cudi,,81,7562318,2025-07-13T01:19:44.712658
45,long_term,The Marías,bedroom pop,86,3040419,2025-07-13T01:19:44.712661
46,long_term,Daniel Caesar,,86,9866336,2025-07-13T01:19:44.712665
47,long_term,Nettspend,"underground hip hop,rage rap",65,300892,2025-07-13T01:19:44.712668
48,long_term,sneak,underground hip hop,39,7621,2025-07-13T01:19:44.712672
49,long_term,Nine Vicious,underground hip hop,61,43728,2025-07-13T01:19:44.712675
50,long_term,Ichiko Aoba,"japanese indie,shibuya-kei",63,920004,2025-07-13T01:19:44.712678
