rank,time_range,artist_id,genres,popularity,followers,extracted_at
1,medium_term,Playboi Carti,rage rap,90,14476348,2025-07-16T03:06:24.138174
2,medium_term,Ken Carson,rage rap,81,2999863,2025-07-16T03:06:24.138236
3,medium_term,OsamaSon,"rage rap,underground hip hop",69,355348,2025-07-16T03:06:24.138242
4,medium_term,Men I Trust,"bedroom pop,indie pop",74,2242660,2025-07-16T03:06:24.138246
5,medium_term,PinkPantheress,bedroom pop,83,4413740,2025-07-16T03:06:24.138249
6,medium_term,Pi’erre Bourne,melodic rap,66,1074636,2025-07-16T03:06:24.138253
7,medium_term,Nine Vicious,underground hip hop,62,44775,2025-07-16T03:06:24.138256
8,medium_term,Clairo,bedroom pop,82,6254438,2025-07-16T03:06:24.138260
9,medium_term,Cochise,rage rap,65,848649,2025-07-16T03:06:24.138263
10,medium_term,PlaqueBoyMax,,74,153307,2025-07-16T03:06:24.138267
11,medium_term,"Lucie,Too","japanese indie,j-rock",28,39219,2025-07-16T03:06:24.138271
12,medium_term,"Tyler, The Creator",,90,22839732,2025-07-16T03:06:24.138274
13,medium_term,beabadoobee,bedroom pop,82,5998354,2025-07-16T03:06:24.138278
14,medium_term,pomodorosa,"shibuya-kei,japanese indie,bossa nova",38,25603,2025-07-16T03:06:24.138282
15,medium_term,grentperez,,66,778239,2025-07-16T03:06:24.138285
16,medium_term,Steve Lacy,,81,6108395,2025-07-16T03:06:24.138292
17,medium_term,Lil O,rage rap,51,27529,2025-07-16T03:06:24.138298
18,medium_term,Nettspend,"underground hip hop,rage rap",66,302641,2025-07-16T03:06:24.138305
19,medium_term,Lamp,"shibuya-kei,japanese indie,city pop",65,1420007,2025-07-16T03:06:24.138312
20,medium_term,Destroy Lonely,rage rap,74,1617615,2025-07-16T03:06:24.138316
21,medium_term,Daniel Caesar,,86,9893193,2025-07-16T03:06:24.138320
22,medium_term,SoFaygo,rage rap,68,868440,2025-07-16T03:06:24.138323
23,medium_term,Lil Uzi Vert,melodic rap,86,18945880,2025-07-16T03:06:24.138327
24,medium_term,YT,,58,65311,2025-07-16T03:06:24.138332
25,medium_term,The Marías,bedroom pop,86,3056191,2025-07-16T03:06:24.138335
26,medium_term,Kanye West,rap,93,30328238,2025-07-16T03:06:24.138339
27,medium_term,Minuano,"shibuya-kei,japanese indie,bossa nova",49,71582,2025-07-16T03:06:24.138346
28,medium_term,SHISHAMO,"japanese indie,j-rock,j-pop",62,655741,2025-07-16T03:06:24.138353
29,medium_term,jahhde,rage rap,49,30110,2025-07-16T03:06:24.138355
30,medium_term,1oneam,underground hip hop,57,99651,2025-07-16T03:06:24.138358
31,medium_term,Protect,underground hip hop,56,57221,2025-07-16T03:06:24.138361
32,medium_term,Glokk40Spaz,underground hip hop,64,298009,2025-07-16T03:06:24.138364
33,medium_term,fivestarmax,sexy drill,37,1394,2025-07-16T03:06:24.138367
34,medium_term,SahBabii,melodic rap,63,746138,2025-07-16T03:06:24.138373
35,medium_term,Che,"rage rap,underground hip hop",63,249726,2025-07-16T03:06:24.138377
36,medium_term,the peggies,"anime,j-rock,j-pop,japanese indie",52,231604,2025-07-16T03:06:24.138381
37,medium_term,mei ehara,"japanese indie,shibuya-kei",50,77463,2025-07-16T03:06:24.138384
38,medium_term,Saki Takaoka,"city pop,kayokyoku,j-pop",18,3311,2025-07-16T03:06:24.138387
39,medium_term,Thee Sacred Souls,retro soul,74,840376,2025-07-16T03:06:24.138391
40,medium_term,Faye Webster,,75,1990609,2025-07-16T03:06:24.138394
41,medium_term,Lancey Foux,rage rap,60,384933,2025-07-16T03:06:24.143229
42,medium_term,Anri,"city pop,kayokyoku,j-pop",63,500139,2025-07-16T03:06:24.143250
43,medium_term,LUCKI,cloud rap,79,1669726,2025-07-16T03:06:24.143254
44,medium_term,Satellite Lovers,"shibuya-kei,japanese indie,city pop",35,7919,2025-07-16T03:06:24.143378
45,medium_term,Pitcher56,"shibuya-kei,japanese indie",44,48575,2025-07-16T03:06:24.143393
46,medium_term,Yeat,rage rap,81,5820257,2025-07-16T03:06:24.143397
47,medium_term,Taeko Onuki,"city pop,shibuya-kei,j-pop",57,294829,2025-07-16T03:06:24.143401
48,medium_term,Frank Ocean,,88,19355902,2025-07-16T03:06:24.143406
49,medium_term,Summrs,underground hip hop,63,509271,2025-07-16T03:06:24.143410
50,medium_term,Cuco,bedroom pop,71,3230044,2025-07-16T03:06:24.143413
