rank,time_range,artist_id,genres,popularity,followers,extracted_at
1,short_term,Nine Vicious,underground hip hop,61,43728,2025-07-13T01:19:44.296941
2,short_term,Pi’erre Bourne,melodic rap,66,1074484,2025-07-13T01:19:44.296968
3,short_term,Ken Carson,rage rap,81,2994682,2025-07-13T01:19:44.296973
4,short_term,PlaqueBoyMax,,73,152212,2025-07-13T01:19:44.296977
5,short_term,fivestarmax,sexy drill,36,1336,2025-07-13T01:19:44.296980
6,short_term,jahhde,rage rap,49,30022,2025-07-13T01:19:44.296983
7,short_term,OsamaSon,"rage rap,underground hip hop",69,353895,2025-07-13T01:19:44.296987
8,short_term,Playboi Carti,rage rap,91,14464544,2025-07-13T01:19:44.296990
9,short_term,Shelly,lo-fi indie,64,184768,2025-07-13T01:19:44.296993
10,short_term,beabadoobee,bedroom pop,82,5984350,2025-07-13T01:19:44.296996
11,short_term,lifelessgarments,"rage rap,underground hip hop",39,26030,2025-07-13T01:19:44.297000
12,short_term,PinkPantheress,bedroom pop,83,4399369,2025-07-13T01:19:44.297008
13,short_term,Nettspend,"underground hip hop,rage rap",65,300892,2025-07-13T01:19:44.297011
14,short_term,Lil Uzi Vert,melodic rap,86,18939157,2025-07-13T01:19:44.297015
15,short_term,"Tyler, The Creator",,90,22800402,2025-07-13T01:19:44.297018
16,short_term,Lil O,rage rap,51,27334,2025-07-13T01:19:44.297326
17,short_term,SahBabii,melodic rap,59,745656,2025-07-13T01:19:44.297336
18,short_term,Lamp,"shibuya-kei,japanese indie,city pop",65,1418661,2025-07-13T01:19:44.297340
19,short_term,Destroy Lonely,rage rap,74,1615154,2025-07-13T01:19:44.297344
20,short_term,Title Fight,"midwest emo,shoegaze,post-hardcore,melodic hardcore,emo",67,580974,2025-07-13T01:19:44.297348
21,short_term,the peggies,"anime,j-rock,j-pop,japanese indie",52,231466,2025-07-13T01:19:44.297352
22,short_term,LUCKI,cloud rap,79,1667609,2025-07-13T01:19:44.297355
23,short_term,The Marías,bedroom pop,86,3040419,2025-07-13T01:19:44.297358
24,short_term,Daniel Caesar,,86,9866336,2025-07-13T01:19:44.297361
25,short_term,SHISHAMO,"japanese indie,j-rock,j-pop",62,654741,2025-07-13T01:19:44.297364
26,short_term,Foo Fighters,"rock,post-grunge,alternative rock,grunge",79,12706974,2025-07-13T01:19:44.297368
27,short_term,Men I Trust,"bedroom pop,indie pop",74,2240490,2025-07-13T01:19:44.297372
28,short_term,Clairo,bedroom pop,82,6243943,2025-07-13T01:19:44.297375
29,short_term,Kanye West,rap,93,30313544,2025-07-13T01:19:44.297378
30,short_term,1oneam,underground hip hop,57,99121,2025-07-13T01:19:44.297381
31,short_term,wave to earth,,76,4591367,2025-07-13T01:19:44.297384
32,short_term,Protect,underground hip hop,56,56830,2025-07-13T01:19:44.297386
33,short_term,Slow Pulp,,58,229771,2025-07-13T01:19:44.297389
34,short_term,xaviersobased,"cloud rap,underground hip hop",62,160548,2025-07-13T01:19:44.297393
35,short_term,Cochise,rage rap,65,848158,2025-07-13T01:19:44.297396
36,short_term,Laufey,,83,7487527,2025-07-13T01:19:44.297469
37,short_term,SZA,r&b,93,31047160,2025-07-13T01:19:44.297475
38,short_term,Ichiko Aoba,"japanese indie,shibuya-kei",63,920004,2025-07-13T01:19:44.297478
39,short_term,pomodorosa,"shibuya-kei,japanese indie,bossa nova",37,25509,2025-07-13T01:19:44.297481
40,short_term,Faye Webster,,75,1985719,2025-07-13T01:19:44.297484
